spend_date,channel,campaign,spend,attributed_revenue
2025-07-25,Shopify,Brand Search Always-On,30.99,139.75
2025-07-25,Amazon,Sponsored Products,58.05,219.69
2025-07-25,Amazon,Sponsored Display,27.17,51.86
2025-07-25,TikTok Shop,Creator Boost,72.84,224.19
2025-07-25,TikTok Shop,Spark Retargeting,20.95,63.79
2025-07-25,Shopify,Holiday Push,85.99,176.59
2025-07-26,Shopify,Brand Search Always-On,60.34,230.34
2025-07-26,Shopify,Prospecting Broad,79.42,107.28
2025-07-26,Amazon,Sponsored Products,72.02,165.76
2025-07-26,TikTok Shop,Spark Retargeting,19.37,50.48
2025-07-26,Shopify,Holiday Push,74.42,249.94
2025-07-27,Shopify,Brand Search Always-On,49.77,138.49
2025-07-27,Shopify,Prospecting Broad,83.01,109.82
2025-07-27,Amazon,Sponsored Products,58.34,146.35
2025-07-27,Amazon,Sponsored Display,34.31,44.55
2025-07-27,TikTok Shop,Creator Boost,75.52,279.67
2025-07-27,TikTok Shop,Spark Retargeting,33.72,85.62
2025-07-27,Shopify,Holiday Push,66.59,135.62
2025-07-27,Amazon,Clearance Remarketing,25.98,36.8
2025-07-28,Shopify,Brand Search Always-On,50.14,227.2
2025-07-28,Shopify,Prospecting Broad,69.13,97.67
2025-07-28,Amazon,Sponsored Products,78.98,266.59
2025-07-28,TikTok Shop,Creator Boost,70.92,324.21
2025-07-28,TikTok Shop,Spark Retargeting,27.27,85.64
2025-07-28,Shopify,Holiday Push,75.77,204.75
2025-07-28,Amazon,Clearance Remarketing,34.04,39.19
2025-07-29,Shopify,Brand Search Always-On,32.16,91.92
2025-07-29,Shopify,Prospecting Broad,98.91,127.72
2025-07-29,Amazon,Sponsored Products,51.32,137.68
2025-07-29,Amazon,Sponsored Display,32.36,59.49
2025-07-29,TikTok Shop,Spark Retargeting,31.08,67.82
2025-07-29,Shopify,Holiday Push,50.36,174.61
2025-07-29,Amazon,Clearance Remarketing,21.65,26.35
2025-07-30,Shopify,Brand Search Always-On,49.68,162.11
2025-07-30,Shopify,Prospecting Broad,70.08,99.55
2025-07-30,Amazon,Sponsored Products,76.37,295.31
2025-07-30,Amazon,Sponsored Display,25.51,38.6
2025-07-30,TikTok Shop,Creator Boost,56.88,271.29
2025-07-30,TikTok Shop,Spark Retargeting,19.92,63.56
2025-07-30,Shopify,Holiday Push,55.1,151.46
2025-07-30,Amazon,Clearance Remarketing,32.6,50.12
2025-07-31,Shopify,Brand Search Always-On,60.69,223.5
2025-07-31,Shopify,Prospecting Broad,67.57,83.13
2025-07-31,Amazon,Sponsored Products,70.02,179.73
2025-07-31,Amazon,Sponsored Display,25.92,47.87
2025-07-31,TikTok Shop,Creator Boost,46.52,134.16
2025-07-31,Shopify,Holiday Push,72.1,169.65
2025-07-31,Amazon,Clearance Remarketing,22.4,28.39
2025-08-01,Shopify,Brand Search Always-On,31.94,131.97
2025-08-01,Shopify,Prospecting Broad,100.83,122.55
2025-08-01,Amazon,Sponsored Display,21.96,38.22
2025-08-01,TikTok Shop,Creator Boost,75.62,347.49
2025-08-01,TikTok Shop,Spark Retargeting,19.24,64.54
2025-08-01,Shopify,Holiday Push,95.41,264.81
2025-08-01,Amazon,Clearance Remarketing,21.12,28.11
2025-08-02,Shopify,Brand Search Always-On,57.99,227.8
2025-08-02,Shopify,Prospecting Broad,76.63,129.53
2025-08-02,Amazon,Sponsored Products,54.32,178.96
2025-08-02,Amazon,Sponsored Display,45.33,69.49
2025-08-02,TikTok Shop,Creator Boost,60.41,217.52
2025-08-02,TikTok Shop,Spark Retargeting,21.96,49.74
2025-08-02,Shopify,Holiday Push,92.4,215.2
2025-08-02,Amazon,Clearance Remarketing,17.01,24.06
2025-08-03,Shopify,Prospecting Broad,50.1,89.48
2025-08-03,Amazon,Sponsored Products,75.45,278.31
2025-08-03,Amazon,Sponsored Display,48.72,60.82
2025-08-03,TikTok Shop,Creator Boost,58.46,216.36
2025-08-03,TikTok Shop,Spark Retargeting,18.56,38.75
2025-08-03,Shopify,Holiday Push,82.41,288.17
2025-08-03,Amazon,Clearance Remarketing,28.98,35.26
2025-08-04,Shopify,Brand Search Always-On,31.7,143.58
2025-08-04,Amazon,Sponsored Products,51.73,187.8
2025-08-04,Amazon,Sponsored Display,35.7,44.2
2025-08-04,TikTok Shop,Creator Boost,49.81,158.6
2025-08-04,TikTok Shop,Spark Retargeting,39.85,86.7
2025-08-04,Shopify,Holiday Push,47.47,163.61
2025-08-04,Amazon,Clearance Remarketing,26.83,32.05
2025-08-05,Shopify,Prospecting Broad,79.33,122.36
2025-08-05,Amazon,Sponsored Products,50.7,191.32
2025-08-05,Amazon,Sponsored Display,38.54,45.16
2025-08-05,TikTok Shop,Creator Boost,75.03,322.8
2025-08-05,TikTok Shop,Spark Retargeting,37.23,84.31
2025-08-05,Shopify,Holiday Push,63.4,219
2025-08-05,Amazon,Clearance Remarketing,20.58,19.65
2025-08-06,Shopify,Brand Search Always-On,39.32,172.36
2025-08-06,Shopify,Prospecting Broad,100.68,107.79
2025-08-06,Amazon,Sponsored Products,72.03,277.47
2025-08-06,Amazon,Sponsored Display,30.59,46.49
2025-08-06,TikTok Shop,Creator Boost,51.45,217.43
2025-08-06,TikTok Shop,Spark Retargeting,33.8,112.95
2025-08-06,Shopify,Holiday Push,50.88,109.78
2025-08-06,Amazon,Clearance Remarketing,17.76,15.87
2025-08-07,Shopify,Brand Search Always-On,47.03,157.85
2025-08-07,Shopify,Prospecting Broad,76.84,131.65
2025-08-07,Amazon,Sponsored Products,49.69,135.02
2025-08-07,Amazon,Sponsored Display,46.37,89.02
2025-08-07,TikTok Shop,Creator Boost,41.61,112.6
2025-08-07,TikTok Shop,Spark Retargeting,21.32,69.12
2025-08-07,Shopify,Holiday Push,68.73,153.23
2025-08-07,Amazon,Clearance Remarketing,21.23,26.67
2025-08-08,Shopify,Brand Search Always-On,41.34,151.26
2025-08-08,Shopify,Prospecting Broad,110.9,189.07
2025-08-08,Amazon,Sponsored Products,60.18,157.03
2025-08-08,Amazon,Sponsored Display,47.58,58.1
2025-08-08,TikTok Shop,Creator Boost,57.01,160.81
2025-08-08,TikTok Shop,Spark Retargeting,35.64,110.35
2025-08-08,Shopify,Holiday Push,84.05,253.38
2025-08-08,Amazon,Clearance Remarketing,32.84,35.05
2025-08-09,Amazon,Sponsored Products,55.74,192.32
2025-08-09,Amazon,Sponsored Display,42.33,44.98
2025-08-09,TikTok Shop,Creator Boost,64.51,254.85
2025-08-09,TikTok Shop,Spark Retargeting,35.35,80.18
2025-08-09,Shopify,Holiday Push,51.2,173.53
2025-08-09,Amazon,Clearance Remarketing,28.09,24.03
2025-08-10,Shopify,Brand Search Always-On,36.24,122.09
2025-08-10,Shopify,Prospecting Broad,56.99,65.32
2025-08-10,Amazon,Sponsored Products,71.6,272.11
2025-08-10,Amazon,Sponsored Display,28.37,30.3
2025-08-10,TikTok Shop,Creator Boost,38.71,176.86
2025-08-10,TikTok Shop,Spark Retargeting,34.44,95.28
2025-08-10,Shopify,Holiday Push,51.61,131.48
2025-08-10,Amazon,Clearance Remarketing,29.03,38.65
2025-08-11,Shopify,Brand Search Always-On,31.4,99.29
2025-08-11,Shopify,Prospecting Broad,107.07,126.38
2025-08-11,Amazon,Sponsored Products,49.39,148.49
