invoice_id,order_id,customer_id,invoice_date,terms,due_date,amount,paid_date
INV00001,ORD000001,C00366,2025-09-26,Net 30,2025-10-26,231.52,2025-10-29
INV00002,ORD000009,C00488,2025-12-03,Net 30,2026-01-02,185.34,
INV00003,ORD000010,C01181,2025-09-03,Net 60,2025-11-02,99.66,2025-10-27
INV00004,ORD000021,C01088,2026-05-05,Net 30,2026-06-04,29.49,2026-06-17
INV00005,ORD000023,C00082,2026-02-19,Net 30,2026-03-21,346.18,2026-04-05
INV00006,ORD000029,C00614,2025-11-16,Net 60,2026-01-15,144.1,2026-01-23
INV00007,ORD000033,C00876,2026-07-04,Net 60,2026-09-02,114.67,
INV00008,ORD000042,C00679,2025-10-22,Net 60,2025-12-21,82.56,2026-01-01
INV00009,ORD000050,C00970,2025-12-20,Net 30,2026-01-19,169.38,2026-01-18
INV00010,ORD000053,C00399,2026-03-29,Net 60,2026-05-28,220.15,2026-05-30
INV00011,ORD000062,C00041,2026-04-24,Net 30,2026-05-24,322.72,2026-05-26
INV00012,ORD000082,C00392,2026-04-17,Net 60,2026-06-16,54.88,2026-06-27
INV00013,ORD000092,C00583,2025-11-25,Net 30,2025-12-25,222.7,2026-01-04
INV00014,ORD000097,C00204,2026-07-15,Net 30,2026-08-14,31.38,2026-07-25
INV00015,ORD000106,C00906,2026-07-04,Net 30,2026-08-03,239.28,
INV00016,ORD000110,C00947,2025-09-19,Net 60,2025-11-18,141.15,2025-12-03
INV00017,ORD000111,C01021,2025-11-05,Net 60,2026-01-04,171.56,2026-01-19
INV00018,ORD000113,C00029,2025-10-29,Net 30,2025-11-28,100.75,2025-11-28
INV00019,ORD000116,C01041,2026-02-20,Net 30,2026-03-22,341.66,2026-04-03
INV00020,ORD000119,C00785,2026-03-10,Net 60,2026-05-09,22.39,2026-05-07
INV00021,ORD000121,C00680,2026-07-09,Net 30,2026-08-08,42.48,
INV00022,ORD000122,C00936,2026-03-09,Net 60,2026-05-08,88.84,2026-05-09
INV00023,ORD000125,C00141,2025-10-19,Net 30,2025-11-18,49.06,2025-11-25
INV00024,ORD000129,C00844,2025-08-30,Net 30,2025-09-29,367.66,2025-10-06
INV00025,ORD000130,C00494,2026-05-15,Net 30,2026-06-14,292.28,2026-06-16
INV00026,ORD000139,C01028,2026-01-05,Net 60,2026-03-06,177.84,2026-03-06
INV00027,ORD000141,C00750,2025-08-19,Net 30,2025-09-18,14.83,2025-10-02
INV00028,ORD000152,C00421,2026-05-01,Net 30,2026-05-31,97.7,2026-05-29
INV00029,ORD000153,C00443,2025-09-08,Net 30,2025-10-08,24.58,2025-10-05
INV00030,ORD000154,C00006,2026-04-16,Net 60,2026-06-15,176.99,2026-06-22
INV00031,ORD000158,C00089,2025-11-06,Net 30,2025-12-06,228.55,2025-12-10
INV00032,ORD000160,C00304,2026-03-31,Net 30,2026-04-30,125.37,2026-05-12
INV00033,ORD000161,C01199,2025-12-05,Net 30,2026-01-04,329.77,2026-01-18
INV00034,ORD000166,C01151,2026-01-18,Net 30,2026-02-17,129.38,2026-02-12
INV00035,ORD000169,C00464,2026-07-01,Net 30,2026-07-31,154.54,
INV00036,ORD000177,C00632,2025-09-05,Net 30,2025-10-05,199.76,2025-10-08
INV00037,ORD000178,C00113,2026-06-29,Net 60,2026-08-28,31.38,
INV00038,ORD000181,C00472,2026-06-17,Net 30,2026-07-17,443.07,2026-07-20
INV00039,ORD000183,C00829,2026-02-08,Net 30,2026-03-10,227.47,2026-03-19
INV00040,ORD000185,C00821,2025-10-11,Net 30,2025-11-10,367.26,2025-11-23
INV00041,ORD000194,C00354,2026-07-17,Net 30,2026-08-16,54.88,
INV00042,ORD000197,C00792,2025-11-28,Net 60,2026-01-27,47.61,2026-01-30
INV00043,ORD000198,C00290,2026-01-31,Net 30,2026-03-02,102.27,2026-02-27
INV00044,ORD000207,C00284,2025-10-26,Net 30,2025-11-25,145.63,2025-12-07
INV00045,ORD000208,C00256,2025-08-17,Net 30,2025-09-16,349.04,2025-09-28
INV00046,ORD000209,C00302,2025-10-27,Net 60,2025-12-26,213.48,2026-01-09
INV00047,ORD000214,C00011,2026-05-06,Net 30,2026-06-05,50.22,2026-06-16
INV00048,ORD000227,C00547,2025-11-05,Net 30,2025-12-05,49.92,2025-12-15
INV00049,ORD000231,C00328,2026-01-06,Net 30,2026-02-05,88.84,2026-01-29
INV00050,ORD000236,C00793,2026-05-05,Net 60,2026-07-04,184.58,
INV00051,ORD000247,C00346,2026-02-12,Net 30,2026-03-14,151.96,2026-03-06
INV00052,ORD000261,C01151,2025-08-22,Net 30,2025-09-21,83.01,2025-09-27
INV00053,ORD000264,C01043,2025-08-17,Net 30,2025-09-16,89.58,
INV00054,ORD000267,C00689,2026-07-12,Net 30,2026-08-11,280.22,2026-07-25
INV00055,ORD000273,C00666,2025-10-26,Net 30,2025-11-25,338.58,2025-11-18
INV00056,ORD000274,C00726,2025-11-11,Net 30,2025-12-11,319.67,2025-12-17
INV00057,ORD000279,C00557,2025-09-15,Net 30,2025-10-15,63.22,2025-10-12
INV00058,ORD000282,C00324,2026-07-03,Net 60,2026-09-01,275.79,
INV00059,ORD000296,C00448,2025-12-10,Net 30,2026-01-09,35.23,2026-01-13
INV00060,ORD000297,C00915,2026-01-06,Net 60,2026-03-07,116.84,
INV00061,ORD000298,C01100,2026-01-01,Net 30,2026-01-31,29.25,2026-01-28
INV00062,ORD000299,C00905,2026-01-23,Net 60,2026-03-24,41.84,2026-03-29
INV00063,ORD000307,C00261,2025-08-18,Net 30,2025-09-17,213.84,2025-09-27
INV00064,ORD000308,C00777,2025-12-29,Net 30,2026-01-28,54.88,
INV00065,ORD000310,C00033,2025-12-04,Net 30,2026-01-03,10.46,2025-12-28
INV00066,ORD000320,C00391,2026-01-05,Net 30,2026-02-04,263,2026-02-01
INV00067,ORD000321,C00081,2025-10-05,Net 30,2025-11-04,51.78,
INV00068,ORD000331,C01001,2026-06-23,Net 30,2026-07-23,44.19,2026-07-16
INV00069,ORD000332,C00070,2026-02-24,Net 30,2026-03-26,29.49,2026-04-06
INV00070,ORD000337,C01079,2026-06-15,Net 30,2026-07-15,130.72,2026-07-10
INV00071,ORD000342,C00974,2026-06-20,Net 60,2026-08-19,120.3,
INV00072,ORD000345,C00680,2025-12-30,Net 30,2026-01-29,146.88,2026-02-06
INV00073,ORD000353,C00191,2025-09-27,Net 30,2025-10-27,245.88,2025-10-19
INV00074,ORD000363,C00056,2026-01-06,Net 60,2026-03-07,262.6,2026-03-13
INV00075,ORD000367,C00819,2026-02-26,Net 30,2026-03-28,81.24,2026-04-06
INV00076,ORD000369,C01025,2026-05-01,Net 30,2026-05-31,38.63,2026-06-12
