order_id,creator_id,attributed_gmv,commission_rate,commission_usd,refunded
ORD000019,CR001,46.26,0.08,3.7,false
ORD000020,CR007,185.04,0.11,20.35,false
ORD000036,CR003,139.72,0.13,18.16,false
ORD000040,CR007,33.48,0.11,3.68,false
ORD000044,CR007,119.37,0.11,13.13,false
ORD000045,CR007,215.38,0.11,23.69,false
ORD000068,CR002,239.25,0.14,33.5,false
ORD000073,CR003,96.09,0.13,12.49,false
ORD000074,CR010,286.69,0.15000000000000002,43,false
ORD000105,CR008,190.8,0.14,26.71,false
ORD000109,CR005,145.11,0.1,14.51,true
ORD000112,CR003,111.21,0.13,14.46,false
ORD000120,CR001,366.22,0.08,29.3,false
ORD000138,CR001,229.13,0.08,18.33,false
ORD000140,CR030,238.92,0.13,31.06,false
ORD000142,CR001,85.26,0.08,6.82,false
ORD000143,CR021,227.43,0.11,25.02,false
ORD000145,CR001,41.79,0.08,3.34,false
ORD000163,CR003,132.79,0.13,17.26,false
ORD000164,CR008,108.42,0.14,15.18,true
ORD000173,CR029,143.58,0.08,11.49,false
ORD000176,CR003,98.12,0.13,12.76,false
ORD000189,CR032,205.76,0.13,26.75,false
ORD000190,CR014,95.51,0.15000000000000002,14.33,false
ORD000203,CR001,215.92,0.08,17.27,false
ORD000224,CR001,154.65,0.08,12.37,false
ORD000230,CR001,73.98,0.08,5.92,false
ORD000233,CR019,347.22,0.13,45.14,false
ORD000239,CR013,268.2,0.11,29.5,false
ORD000250,CR003,44.49,0.13,5.78,false
ORD000253,CR003,232.27,0.13,30.2,false
ORD000255,CR007,164.6,0.11,18.11,false
ORD000259,CR020,126.44,0.12,15.17,false
ORD000266,CR011,44.49,0.12,5.34,false
ORD000268,CR007,315.82,0.11,34.74,false
ORD000269,CR001,273.98,0.08,21.92,false
ORD000276,CR011,351.82,0.12,42.22,false
ORD000278,CR021,224.13,0.11,24.65,false
ORD000281,CR001,41.79,0.08,3.34,false
ORD000283,CR026,134.06,0.08,10.72,false
ORD000286,CR003,343.92,0.13,44.71,false
ORD000287,CR008,24.58,0.14,3.44,false
ORD000306,CR007,176.76,0.11,19.44,false
ORD000309,CR010,244.09,0.15000000000000002,36.61,false
ORD000328,CR005,24.58,0.1,2.46,false
ORD000347,CR013,514.48,0.11,56.59,false
ORD000357,CR018,96.96,0.09,8.73,false
ORD000360,CR012,203.25,0.09,18.29,false
ORD000368,CR001,241.54,0.08,19.32,false
ORD000373,CR009,104.77,0.15000000000000002,15.72,false
