creator_id,handle,name,follower_count,joined_date
CR001,@maya.glow,Maya,814252,2025-11-26
CR002,@jade.styles,Jade,3438,2025-11-22
CR003,@lena.hairdays,Lena,3000,2025-09-07
CR004,@sofia.beauty,Sofia,465594,2026-01-31
CR005,@amara.curls,Amara,714763,2025-11-06
CR006,@nia.blowout,Nia,672773,2025-12-05
CR007,@tessa.sleek,Tessa,127008,2025-08-03
CR008,@remi.shine,Remi,101978,2025-09-26
CR009,@isla.glow,Isla,18957,2025-09-07
CR010,@cleo.styles,Cleo,483172,2026-01-02
CR011,@dara.hairdays,Dara,6337,2025-08-03
CR012,@wren.beauty,Wren,151842,2026-01-06
CR013,@kaia.curls,Kaia,6176,2025-11-20
CR014,@noor.blowout,Noor,591065,2026-01-27
CR015,@elle.sleek,Elle,4111,2025-11-05
CR016,@sage.shine,Sage,12837,2025-11-03
CR017,@mira.glow,Mira,178614,2025-10-25
CR018,@opal.styles,Opal,870013,2025-10-14
CR019,@juno.hairdays,Juno,582494,2026-01-09
CR020,@vada.beauty,Vada,454304,2025-08-30
CR021,@faye.curls,Faye,654783,2025-11-20
CR022,@lux.blowout,Lux,133739,2025-10-19
CR023,@romy.sleek,Romy,63947,2026-01-17
CR024,@esme.shine,Esme,43068,2025-12-07
CR025,@britt.glow,Britt,28573,2025-11-12
CR026,@zara.styles,Zara,229255,2025-10-12
CR027,@cami.hairdays,Cami,874712,2026-01-31
CR028,@drew.beauty,Drew,794258,2025-09-15
CR029,@hana.curls,Hana,371667,2025-11-08
CR030,@ivy.blowout,Ivy,339372,2025-10-25
CR031,@lola.sleek,Lola,19368,2025-08-24
CR032,@nova.shine,Nova,8851,2025-08-19
CR033,@pia.glow,Pia,20932,2026-02-06
CR034,@quinn.styles,Quinn,292183,2025-11-30
CR035,@rae.hairdays,Rae,736189,2025-10-30
CR036,@skye.beauty,Skye,472890,2025-11-11
