product_id,location,available,committed,incoming,reorder_point
SKU0000,Main Warehouse,0,0,0,14
SKU0000,Amazon FBA,146,0,0,14
SKU0000,Retail 3PL,153,4,0,14
SKU0001,Main Warehouse,0,0,0,16
SKU0001,Amazon FBA,65,8,0,16
SKU0001,Retail 3PL,0,0,0,16
SKU0002,Main Warehouse,0,0,0,17
SKU0002,Amazon FBA,6,4,0,17
SKU0002,Retail 3PL,0,0,25,17
SKU0003,Main Warehouse,51,1,33,17
SKU0003,Amazon FBA,36,3,0,17
SKU0003,Retail 3PL,0,0,0,17
SKU0004,Main Warehouse,79,4,36,15
SKU0004,Amazon FBA,9,7,0,15
SKU0004,Retail 3PL,82,3,46,15
SKU0005,Main Warehouse,239,1,0,16
SKU0005,Amazon FBA,4,4,54,16
SKU0005,Retail 3PL,52,4,0,16
SKU0006,Main Warehouse,0,0,10,7
SKU0006,Amazon FBA,14,2,0,7
SKU0006,Retail 3PL,20,3,0,7
SKU0007,Main Warehouse,63,1,0,15
SKU0007,Amazon FBA,0,0,0,15
SKU0007,Retail 3PL,0,0,0,15
SKU0008,Main Warehouse,115,3,0,12
SKU0008,Amazon FBA,109,3,0,12
SKU0008,Retail 3PL,41,4,50,12
SKU0009,Main Warehouse,59,5,0,14
SKU0009,Amazon FBA,8,2,0,14
SKU0009,Retail 3PL,36,0,0,14
SKU0010,Main Warehouse,0,0,0,16
SKU0010,Amazon FBA,2,2,0,16
SKU0010,Retail 3PL,60,1,0,16
SKU0011,Main Warehouse,50,5,0,14
SKU0011,Amazon FBA,77,4,27,14
SKU0011,Retail 3PL,0,0,0,14
SKU0012,Main Warehouse,32,3,0,15
SKU0012,Amazon FBA,0,0,0,15
SKU0012,Retail 3PL,75,2,0,15
SKU0013,Main Warehouse,5,4,0,10
SKU0013,Amazon FBA,145,2,0,10
SKU0013,Retail 3PL,110,2,0,10
SKU0014,Main Warehouse,55,4,15,10
SKU0014,Amazon FBA,0,0,0,10
SKU0014,Retail 3PL,39,2,38,10
SKU0015,Main Warehouse,43,6,0,15
SKU0015,Amazon FBA,73,0,0,15
SKU0015,Retail 3PL,7,0,0,15
SKU0016,Main Warehouse,22,4,0,10
SKU0016,Amazon FBA,22,2,0,10
SKU0016,Retail 3PL,25,5,0,10
SKU0017,Main Warehouse,0,0,0,12
SKU0017,Amazon FBA,48,2,0,12
SKU0017,Retail 3PL,186,6,46,12
SKU0018,Main Warehouse,24,7,40,15
SKU0018,Amazon FBA,23,0,0,15
SKU0018,Retail 3PL,3,1,0,15
SKU0019,Main Warehouse,81,5,0,16
SKU0019,Amazon FBA,182,4,0,16
SKU0019,Retail 3PL,236,1,0,16
SKU0020,Main Warehouse,81,1,0,16
SKU0020,Amazon FBA,7,4,0,16
SKU0020,Retail 3PL,0,0,0,16
SKU0021,Main Warehouse,0,0,0,13
SKU0021,Amazon FBA,9,6,0,13
SKU0021,Retail 3PL,0,0,0,13
SKU0022,Main Warehouse,26,2,0,13
SKU0022,Amazon FBA,52,2,0,13
SKU0022,Retail 3PL,40,5,0,13
SKU0023,Main Warehouse,6,2,0,14
SKU0023,Amazon FBA,78,4,0,14
SKU0023,Retail 3PL,54,7,34,14
SKU0024,Main Warehouse,45,4,0,15
SKU0024,Amazon FBA,39,4,59,15
SKU0024,Retail 3PL,33,1,0,15
SKU0025,Main Warehouse,140,8,0,16
SKU0025,Amazon FBA,1,1,0,16
SKU0025,Retail 3PL,67,8,60,16
SKU0026,Main Warehouse,2,2,43,16
SKU0026,Amazon FBA,41,7,0,16
SKU0026,Retail 3PL,80,4,0,16
SKU0027,Main Warehouse,35,5,0,12
SKU0027,Amazon FBA,22,3,0,12
SKU0027,Retail 3PL,40,6,0,12
SKU0028,Main Warehouse,56,3,80,20
SKU0028,Amazon FBA,103,7,0,20
SKU0028,Retail 3PL,5,5,0,20
SKU0029,Main Warehouse,24,7,33,15
SKU0029,Amazon FBA,26,2,52,15
SKU0029,Retail 3PL,0,0,0,15
SKU0030,Main Warehouse,0,0,0,11
SKU0030,Amazon FBA,0,0,0,11
SKU0030,Retail 3PL,26,3,43,11
SKU0031,Main Warehouse,44,3,0,13
SKU0031,Amazon FBA,69,4,0,13
SKU0031,Retail 3PL,0,0,30,13
SKU0032,Main Warehouse,1,1,0,16
SKU0032,Amazon FBA,1,1,0,16
SKU0032,Retail 3PL,2,2,0,16
SKU0033,Main Warehouse,37,6,0,12
SKU0033,Amazon FBA,0,0,34,12
SKU0033,Retail 3PL,58,3,0,12
SKU0034,Main Warehouse,32,8,84,20
SKU0034,Amazon FBA,261,4,0,20
SKU0034,Retail 3PL,101,3,0,20
SKU0035,Main Warehouse,48,3,0,11
SKU0035,Amazon FBA,22,3,0,11
SKU0035,Retail 3PL,122,0,0,11
SKU0036,Main Warehouse,0,0,0,9
SKU0036,Amazon FBA,34,3,32,9
SKU0036,Retail 3PL,45,3,0,9
SKU0037,Main Warehouse,46,2,36,14
SKU0037,Amazon FBA,44,1,0,14
SKU0037,Retail 3PL,9,6,60,14
SKU0038,Main Warehouse,0,0,0,18
SKU0038,Amazon FBA,87,6,0,18
SKU0038,Retail 3PL,101,4,38,18
SKU0039,Main Warehouse,75,7,0,15
SKU0039,Amazon FBA,8,4,0,15
SKU0039,Retail 3PL,27,3,0,15
