order_id,gateway,gross,processing_fee,platform_fee,net_payout,payout_date
ORD000000,Amazon Marketplace,132.96,0,19.94,113.02,2026-06-17
ORD000002,Shopify Payments,225,6.83,0,218.17,2026-04-26
ORD000003,TikTok Payments,13.72,0.27,0.82,12.63,2026-01-13
ORD000004,Amazon Marketplace,88.38,0,13.26,75.12,2025-12-18
ORD000005,Shopify Payments,159.73,4.93,0,154.8,2025-11-12
ORD000006,TikTok Payments,275.28,5.51,16.52,253.25,2025-10-01
ORD000007,Shopify Payments,126,3.95,0,122.05,2025-10-19
ORD000008,Amazon Marketplace,90.85,0,13.63,77.22,2026-05-31
ORD000011,Amazon Marketplace,377.86,0,56.68,321.18,2025-09-13
ORD000012,Amazon Marketplace,39.73,0,5.96,33.77,2026-01-03
ORD000013,Shopify Payments,310.26,9.3,0,300.96,2025-09-04
ORD000014,Walmart Marketplace,42.48,0,5.1,37.38,2025-12-26
ORD000015,Amazon Marketplace,86.04,0,12.91,73.13,2026-07-04
ORD000016,Shopify Payments,113.89,3.6,0,110.29,2025-12-08
ORD000017,Shopify Payments,126.21,3.96,0,122.25,2026-03-19
ORD000018,Walmart Marketplace,239.82,0,28.78,211.04,2025-11-19
ORD000019,TikTok Payments,46.26,0.93,2.78,42.55,2026-06-12
ORD000020,TikTok Payments,185.04,3.7,11.1,170.24,2025-08-17
ORD000022,Shopify Payments,114.37,3.62,0,110.75,2026-01-23
ORD000024,TikTok Payments,90.14,1.8,5.41,82.93,2025-09-20
ORD000025,TikTok Payments,28.42,0.57,1.71,26.14,2026-07-27
ORD000026,Amazon Marketplace,105.09,0,15.76,89.33,2026-01-04
ORD000027,Shopify Payments,41.16,1.49,0,39.67,2025-08-26
ORD000028,TikTok Payments,188.71,3.77,11.32,173.62,2026-03-04
ORD000030,TikTok Payments,202.88,4.06,12.17,186.65,2026-06-21
ORD000031,TikTok Payments,149.76,3,8.99,137.77,2026-04-02
ORD000032,Amazon Marketplace,164.37,0,24.66,139.71,2026-04-05
ORD000034,TikTok Payments,175.99,3.52,10.56,161.91,2026-07-01
ORD000035,Amazon Marketplace,13.72,0,2.06,11.66,2025-12-27
ORD000036,TikTok Payments,139.72,2.79,8.38,128.55,2026-03-14
ORD000037,Shopify Payments,143.1,4.45,0,138.65,2025-10-09
ORD000038,Walmart Marketplace,51.82,0,6.22,45.6,2026-05-09
ORD000039,Walmart Marketplace,85.26,0,10.23,75.03,2025-09-04
ORD000040,TikTok Payments,33.48,0.67,2.01,30.8,2025-08-20
ORD000041,Walmart Marketplace,213.26,0,25.59,187.67,2026-04-22
ORD000043,Shopify Payments,195.47,5.97,0,189.5,2026-05-23
ORD000044,TikTok Payments,119.37,2.39,7.16,109.82,2025-11-22
ORD000045,TikTok Payments,215.38,4.31,12.92,198.15,2025-09-02
ORD000046,Amazon Marketplace,140.13,0,21.02,119.11,2026-07-06
ORD000047,Walmart Marketplace,316.24,0,37.95,278.29,2025-11-06
ORD000048,Walmart Marketplace,45.36,0,5.44,39.92,2026-07-10
ORD000049,Shopify Payments,304.33,9.13,0,295.2,2025-09-05
ORD000051,TikTok Payments,22.21,0.44,1.33,20.44,2025-11-16
ORD000052,Amazon Marketplace,169.82,0,25.47,144.35,2026-02-01
ORD000054,Amazon Marketplace,190.8,0,28.62,162.18,2026-06-29
ORD000055,Amazon Marketplace,110.08,0,16.51,93.57,2025-12-29
ORD000056,Shopify Payments,447.49,13.28,0,434.21,2025-09-30
ORD000057,Shopify Payments,298.32,8.95,0,289.37,2025-12-17
ORD000058,Shopify Payments,99.9,3.2,0,96.7,2025-12-12
ORD000059,TikTok Payments,214.6,4.29,12.88,197.43,2025-10-22
ORD000060,Shopify Payments,243.93,7.37,0,236.56,2026-04-13
ORD000061,Walmart Marketplace,89.56,0,10.75,78.81,2025-11-21
ORD000063,Walmart Marketplace,448.34,0,53.8,394.54,2026-08-06
ORD000064,Walmart Marketplace,88.16,0,10.58,77.58,2026-05-02
