order_id,product_id,qty,line_total
ORD000000,SKU0010,4,39.0
ORD000000,SKU0000,3,93.96
ORD000001,SKU0006,3,94.83
ORD000001,SKU0032,2,70.06
ORD000001,SKU0009,3,66.63
ORD000002,SKU0000,3,93.96
ORD000002,SKU0031,1,48.48
ORD000002,SKU0007,3,82.56
ORD000003,SKU0015,1,13.72
ORD000004,SKU0034,2,88.38
ORD000005,SKU0010,3,29.25
ORD000005,SKU0033,4,109.56
ORD000005,SKU0013,2,20.92
ORD000006,SKU0023,4,110.68
ORD000006,SKU0033,4,109.56
ORD000006,SKU0007,2,55.04
ORD000007,SKU0001,2,33.48
ORD000007,SKU0037,2,92.52
ORD000008,SKU0003,2,58.98
ORD000008,SKU0004,1,19.58
ORD000008,SKU0021,1,12.29
ORD000009,SKU0031,2,96.96
ORD000009,SKU0034,2,88.38
ORD000010,SKU0015,4,54.88
ORD000010,SKU0026,2,44.78
ORD000011,SKU0027,3,149.76
ORD000011,SKU0027,4,199.68
ORD000011,SKU0029,1,28.42
ORD000012,SKU0021,1,12.29
ORD000012,SKU0015,2,27.44
ORD000013,SKU0008,4,167.16
ORD000013,SKU0011,3,143.1
ORD000014,SKU0028,1,42.48
ORD000015,SKU0005,2,86.04
ORD000016,SKU0030,2,99.06
ORD000016,SKU0025,1,14.83
ORD000017,SKU0024,3,126.21
ORD000018,SKU0035,4,195.4
ORD000018,SKU0009,2,44.42
ORD000019,SKU0037,1,46.26
ORD000020,SKU0037,4,185.04
ORD000021,SKU0003,1,29.49
ORD000022,SKU0004,2,39.16
ORD000022,SKU0025,1,14.83
ORD000022,SKU0036,2,60.38
ORD000023,SKU0005,4,172.08
ORD000023,SKU0037,3,138.78
ORD000023,SKU0016,2,35.32
ORD000024,SKU0025,2,29.66
ORD000024,SKU0019,4,60.48
ORD000025,SKU0029,1,28.42
ORD000026,SKU0032,3,105.09
ORD000027,SKU0015,3,41.16
ORD000028,SKU0034,3,132.57
ORD000028,SKU0039,1,56.14
ORD000029,SKU0006,2,63.22
ORD000029,SKU0016,1,17.66
ORD000029,SKU0006,2,63.22
ORD000030,SKU0013,3,31.38
ORD000030,SKU0013,3,31.38
ORD000030,SKU0032,4,140.12
ORD000031,SKU0027,3,149.76
ORD000032,SKU0008,3,125.37
ORD000032,SKU0010,4,39.0
ORD000033,SKU0000,1,31.32
ORD000033,SKU0004,2,39.16
ORD000033,SKU0034,1,44.19
ORD000034,SKU0009,4,88.84
ORD000034,SKU0008,1,41.79
ORD000034,SKU0019,3,45.36
ORD000035,SKU0015,1,13.72
ORD000036,SKU0039,2,112.28
ORD000036,SKU0015,2,27.44
ORD000037,SKU0011,3,143.1
ORD000038,SKU0010,1,9.75
ORD000038,SKU0024,1,42.07
ORD000039,SKU0029,3,85.26
ORD000040,SKU0001,2,33.48
ORD000041,SKU0004,3,58.74
ORD000041,SKU0022,4,154.52
ORD000042,SKU0007,3,82.56
ORD000043,SKU0002,1,54.55
ORD000043,SKU0038,4,140.92
ORD000044,SKU0038,1,35.23
ORD000044,SKU0024,2,84.14
ORD000045,SKU0027,1,49.92
ORD000045,SKU0033,2,54.78
ORD000045,SKU0023,4,110.68
ORD000046,SKU0020,1,27.6
ORD000046,SKU0019,3,45.36
ORD000046,SKU0026,3,67.17
ORD000047,SKU0008,2,83.58
ORD000047,SKU0026,4,89.56
ORD000047,SKU0011,3,143.1
ORD000048,SKU0019,3,45.36
ORD000049,SKU0038,3,105.69
ORD000049,SKU0029,4,113.68
ORD000049,SKU0028,2,84.96
ORD000050,SKU0010,1,9.75
ORD000050,SKU0018,3,73.59
ORD000050,SKU0005,2,86.04
ORD000051,SKU0009,1,22.21
ORD000052,SKU0039,1,56.14
ORD000052,SKU0029,4,113.68
ORD000053,SKU0024,4,168.28
ORD000053,SKU0025,2,29.66
ORD000053,SKU0009,1,22.21
ORD000054,SKU0011,4,190.8
ORD000055,SKU0007,4,110.08
ORD000056,SKU0033,3,82.17
ORD000056,SKU0028,4,169.92
ORD000056,SKU0035,4,195.4
ORD000057,SKU0016,2,35.32
ORD000057,SKU0017,4,263.0
ORD000058,SKU0004,3,58.74
ORD000058,SKU0015,3,41.16
ORD000059,SKU0005,2,86.04
ORD000059,SKU0009,2,44.42
ORD000059,SKU0024,2,84.14
ORD000060,SKU0026,3,67.17
ORD000060,SKU0034,4,176.76
ORD000061,SKU0026,4,89.56
ORD000062,SKU0024,4,168.28
ORD000062,SKU0000,3,93.96
ORD000062,SKU0019,4,60.48
ORD000063,SKU0034,2,88.38
ORD000063,SKU0031,2,96.96
ORD000063,SKU0017,4,263.0
ORD000064,SKU0021,4,49.16
ORD000064,SKU0010,4,39.0
ORD000065,SKU0025,1,14.83
ORD000066,SKU0029,2,56.84
ORD000067,SKU0020,2,55.2
ORD000067,SKU0029,3,85.26
ORD000068,SKU0026,3,67.17
