order_id,order_date,channel,customer_id
ORD000000,2026-06-02,Amazon,C00602
ORD000001,2025-09-25,Wholesale,C00366
ORD000002,2026-04-22,Shopify,C01105
ORD000003,2026-01-05,TikTok Shop,C00491
ORD000004,2025-12-04,Amazon,C00996
ORD000005,2025-11-09,Shopify,C00974
ORD000006,2025-09-23,TikTok Shop,C00818
ORD000007,2025-10-16,Shopify,C00132
ORD000008,2026-05-17,Amazon,C00146
ORD000009,2025-12-02,Wholesale,C00488
ORD000010,2025-09-02,Wholesale,C01181
ORD000011,2025-08-30,Amazon,C00199
ORD000012,2025-12-19,Amazon,C00125
ORD000013,2025-08-31,Shopify,C01099
ORD000014,2025-12-11,Walmart,C00512
ORD000015,2026-06-19,Amazon,C01108
ORD000016,2025-12-05,Shopify,C00833
ORD000017,2026-03-16,Shopify,C00777
ORD000018,2025-11-04,Walmart,C00585
ORD000019,2026-06-03,TikTok Shop,C00446
ORD000020,2025-08-10,TikTok Shop,C00118
ORD000021,2026-05-04,Wholesale,C01088
ORD000022,2026-01-19,Shopify,C00141
ORD000023,2026-02-18,Wholesale,C00082
ORD000024,2025-09-11,TikTok Shop,C00489
ORD000025,2026-07-18,TikTok Shop,C00149
ORD000026,2025-12-19,Amazon,C01102
ORD000027,2025-08-24,Shopify,C00715
ORD000028,2026-02-24,TikTok Shop,C00324
ORD000029,2025-11-15,Wholesale,C00614
ORD000030,2026-06-12,TikTok Shop,C00578
ORD000031,2026-03-26,TikTok Shop,C00105
ORD000032,2026-03-22,Amazon,C00008
ORD000033,2026-07-03,Wholesale,C00876
ORD000034,2026-06-24,TikTok Shop,C01193
ORD000035,2025-12-12,Amazon,C00733
ORD000036,2026-03-06,TikTok Shop,C01147
ORD000037,2025-10-07,Shopify,C00845
ORD000038,2026-04-24,Walmart,C00509
ORD000039,2025-08-21,Walmart,C00456
ORD000040,2025-08-11,TikTok Shop,C00467
ORD000041,2026-04-07,Walmart,C00673
ORD000042,2025-10-21,Wholesale,C00679
ORD000043,2026-05-21,Shopify,C01190
ORD000044,2025-11-14,TikTok Shop,C00643
ORD000045,2025-08-24,TikTok Shop,C00091
ORD000046,2026-06-22,Amazon,C00677
ORD000047,2025-10-23,Walmart,C00606
ORD000048,2026-06-26,Walmart,C01123
ORD000049,2025-09-02,Shopify,C00881
ORD000050,2025-12-19,Wholesale,C00970
ORD000051,2025-11-09,TikTok Shop,C00461
ORD000052,2026-01-17,Amazon,C00502
ORD000053,2026-03-28,Wholesale,C00399
ORD000054,2026-06-13,Amazon,C00871
ORD000055,2025-12-13,Amazon,C01142
ORD000056,2025-09-26,Shopify,C00952
ORD000057,2025-12-15,Shopify,C00973
ORD000058,2025-12-09,Shopify,C00563
ORD000059,2025-10-14,TikTok Shop,C00655
ORD000060,2026-04-11,Shopify,C00132
ORD000061,2025-11-05,Walmart,C00128
ORD000062,2026-04-23,Wholesale,C00041
ORD000063,2026-07-23,Walmart,C01103
ORD000064,2026-04-16,Walmart,C00060
ORD000065,2026-04-02,Shopify,C01094
ORD000066,2025-08-21,Amazon,C00878
ORD000067,2026-03-18,Amazon,C00533
ORD000068,2026-03-28,TikTok Shop,C00777
ORD000069,2025-09-29,Amazon,C01105
ORD000070,2026-02-17,Amazon,C00083
ORD000071,2026-05-04,Amazon,C00313
ORD000072,2025-10-28,Amazon,C01156
ORD000073,2025-09-26,TikTok Shop,C00344
ORD000074,2026-01-20,TikTok Shop,C01180
ORD000075,2025-12-19,Amazon,C00618
ORD000076,2025-11-06,TikTok Shop,C00142
ORD000077,2026-07-19,TikTok Shop,C00942
ORD000078,2026-03-30,Walmart,C00893
ORD000079,2026-04-18,Walmart,C00500
ORD000080,2026-02-26,Walmart,C00666
ORD000081,2025-10-18,TikTok Shop,C00530
ORD000082,2026-04-16,Wholesale,C00392
ORD000083,2025-11-27,Walmart,C01138
ORD000084,2026-06-17,Walmart,C00036
ORD000085,2026-05-19,Walmart,C00499
ORD000086,2026-05-22,Walmart,C01128
