product_id,product_name,brand,unit_cost,unit_price
SKU0000,Purpose Tool,UNbrush,17.07,31.32
SKU0001,Brother Tool,FHI,8.39,16.74
SKU0002,Ago Tool,FHI,17.89,54.55
SKU0003,Site Tool,FHI,15.99,29.49
SKU0004,Face Tool,FHI,7.81,19.58
SKU0005,Election Tool,Generic,15.35,43.02
SKU0006,Dog Tool,Generic,14.99,31.61
SKU0007,Chair Tool,FHI,9.12,27.52
SKU0008,Since Tool,FHI,18.36,41.79
SKU0009,Blue Tool,FHI,7.74,22.21
SKU0010,Require Tool,UNbrush,5.04,9.75
SKU0011,Sit Tool,Generic,16.28,47.7
SKU0012,Wait Tool,UNbrush,13.11,25.89
SKU0013,Offer Tool,Generic,4.73,10.46
SKU0014,Begin Tool,Generic,16.61,49.94
SKU0015,Performance Tool,Generic,7.23,13.72
SKU0016,Knowledge Tool,FHI,8.01,17.66
SKU0017,Almost Tool,UNbrush,21.82,65.75
SKU0018,All Tool,UNbrush,9.12,24.53
SKU0019,Better Tool,Generic,6.58,15.12
SKU0020,Discover Tool,Generic,8.87,27.6
SKU0021,Early Tool,Generic,4.57,12.29
SKU0022,Mouth Tool,UNbrush,19.04,38.63
SKU0023,Play Tool,Generic,8.94,27.67
SKU0024,Agreement Tool,FHI,15.25,42.07
SKU0025,Option Tool,UNbrush,8.04,14.83
SKU0026,Decide Tool,Generic,11.83,22.39
SKU0027,Sense Tool,Generic,22.28,49.92
SKU0028,Rate Tool,Generic,13.98,42.48
SKU0029,Science Tool,FHI,13.09,28.42
SKU0030,Offer Tool,Generic,19.39,49.53
SKU0031,Kind Tool,UNbrush,15.86,48.48
SKU0032,Discussion Tool,FHI,10.96,35.03
SKU0033,List Tool,FHI,14.21,27.39
SKU0034,Perform Tool,FHI,21.94,44.19
SKU0035,Fall Tool,FHI,20.43,48.85
SKU0036,Table Tool,UNbrush,11.46,30.19
SKU0037,True Tool,FHI,14.64,46.26
SKU0038,According Tool,Generic,17.97,35.23
SKU0039,Song Tool,UNbrush,19.52,56.14
