month,channel,campaign,search_term,impressions,clicks,spend,attributed_revenue,orders
2025-07-01,Shopify,Brand Search Always-On,unbrush,504,8,7.64,108.58,1
2025-07-01,Shopify,Brand Search Always-On,unbrush flat iron,1218,35,41.93,136.56,2
2025-07-01,Shopify,Brand Search Always-On,unbrush hair dryer,628,15,15.53,131.55,1
2025-07-01,Shopify,Brand Search Always-On,unbrush reviews,2010,27,26.29,110.64,1
2025-07-01,Shopify,Brand Search Always-On,fhi,7110,72,43.03,691.94,6
2025-07-01,Shopify,Brand Search Always-On,fhi flat iron,1008,27,28.08,130.23,1
2025-07-01,Shopify,Brand Search Always-On,fhi hair dryer,1293,29,35.97,290.84,2
2025-07-01,Shopify,Brand Search Always-On,fhi reviews,1721,20,19.62,51.19,1
2025-07-01,Shopify,Brand Search Always-On,unbrush dupe,348,8,14.66,0,0
2025-07-01,Shopify,Brand Search Always-On,is unbrush legit,5977,78,45.32,0,0
2025-07-01,Shopify,Brand Search Always-On,fhi dupe,810,27,37.81,0,0
2025-07-01,Shopify,Brand Search Always-On,is fhi legit,737,19,17.89,0,0
2025-08-01,Shopify,Brand Search Always-On,unbrush,1827,29,27.78,406.14,3
2025-08-01,Shopify,Brand Search Always-On,unbrush flat iron,4384,126,152.52,653.45,8
2025-08-01,Shopify,Brand Search Always-On,unbrush hair dryer,2262,54,56.5,464.86,4
2025-08-01,Shopify,Brand Search Always-On,unbrush reviews,7370,99,95.63,405.93,4
2025-08-01,Shopify,Brand Search Always-On,fhi,25971,263,156.52,3217.17,30
2025-08-01,Shopify,Brand Search Always-On,fhi flat iron,3735,100,102.15,774.1,7
2025-08-01,Shopify,Brand Search Always-On,fhi hair dryer,4728,106,130.84,917.64,6
2025-08-01,Shopify,Brand Search Always-On,fhi reviews,6367,74,71.36,307.9,5
2025-08-01,Shopify,Brand Search Always-On,unbrush dupe,1303,30,53.33,0,0
2025-08-01,Shopify,Brand Search Always-On,is unbrush legit,21838,285,164.84,0,0
2025-08-01,Shopify,Brand Search Always-On,fhi dupe,2879,96,137.55,0,0
2025-08-01,Shopify,Brand Search Always-On,is fhi legit,2676,69,65.09,0,0
2025-09-01,Shopify,Brand Search Always-On,unbrush,2079,33,32.27,210.07,2
2025-09-01,Shopify,Brand Search Always-On,unbrush flat iron,5080,146,177.17,838.46,11
2025-09-01,Shopify,Brand Search Always-On,unbrush hair dryer,2597,62,65.62,765.85,6
2025-09-01,Shopify,Brand Search Always-On,unbrush reviews,8561,115,111.08,497.6,5
